"id","group_type","value","desc"
"hero_base_traffic_value","traffic","8","主角初始基础流量每秒"
"offline_income_coeff","offline","0.25","离线收益折算系数，首版调低版"
"offline_max_sec","offline","21600","最大离线累计秒数6小时"
"ad_double_coeff","ad","2.0","双倍类广告倍率"
"ad_live_accelerate_coeff","ad","2.0","开播加速倍率"
"ad_live_accelerate_duration_sec","ad","180","开播加速持续秒数"
"ad_sales_burst_coeff","ad","2.2","爆单翻倍倍率"
"ad_sales_burst_duration_sec","ad","120","爆单持续秒数"
"share_traffic_pack_value","share","400","分享奖励流量包"
"free_recruit_ad_count","ad","1","单次广告免费招募次数"
