"line_id","level","cost_gold","traffic_coeff","commerce_coeff","visual_stage_id","unlock_desc"
"makeup","1","0","1","1","makeup_stage_1","初始状态"
"makeup","2","25","1.1","1","makeup_stage_1","轻妆"
"makeup","3","55","1.22","1","makeup_stage_1","更有精神"
"makeup","4","100","1.36","1","makeup_stage_2","气色提升"
"makeup","5","170","1.52","1","makeup_stage_2","妆容成熟"
"makeup","6","280","1.7","1","makeup_stage_2","镜头更上镜"
"makeup","7","430","1.9","1","makeup_stage_3","精致妆感"
"makeup","8","650","2.12","1","makeup_stage_3","直播妆"
"makeup","9","950","2.36","1","makeup_stage_3","高级妆容"
"makeup","10","1350","2.62","1","makeup_stage_4","明星感"
"skill","1","0","1","1","skill_stage_1","初始状态"
"skill","2","30","1","1.08","skill_stage_1","更会表达"
"skill","3","65","1","1.18","skill_stage_1","镜头感提升"
"skill","4","120","1","1.3","skill_stage_2","互动变强"
"skill","5","210","1","1.44","skill_stage_2","话术更顺"
"skill","6","340","1","1.6","skill_stage_2","带货更稳"
"skill","7","520","1","1.78","skill_stage_3","高互动"
"skill","8","780","1","1.98","skill_stage_3","专业主播"
"skill","9","1120","1","2.2","skill_stage_3","成交更强"
"skill","10","1580","1","2.44","skill_stage_4","带货达人"
"outfit","1","0","1","1","outfit_stage_1","初始状态"
"outfit","2","35","1.06","1.02","outfit_stage_1","整洁穿搭"
"outfit","3","75","1.14","1.04","outfit_stage_1","更有风格"
"outfit","4","140","1.24","1.07","outfit_stage_2","时尚提升"
"outfit","5","230","1.36","1.1","outfit_stage_2","更上镜"
"outfit","6","370","1.5","1.14","outfit_stage_2","搭配成熟"
"outfit","7","580","1.66","1.18","outfit_stage_3","精致穿搭"
"outfit","8","880","1.84","1.23","outfit_stage_3","高级感"
"outfit","9","1280","2.04","1.29","outfit_stage_3","人气造型"
"outfit","10","1820","2.26","1.36","outfit_stage_4","招牌造型"
