"id","category_id","level","cost_gold","traffic_coeff","commerce_coeff","room_score","stage_visual_id"
"device_lv1","device","1","0","1","1","0","room_stage_1"
"device_lv2","device","2","40","1.04","1","4","room_stage_1"
"device_lv3","device","3","90","1.09","1","9","room_stage_1"
"device_lv4","device","4","180","1.15","1","15","room_stage_2"
"device_lv5","device","5","340","1.22","1","22","room_stage_2"
"device_lv6","device","6","620","1.3","1","30","room_stage_2"
"decor_lv1","decor","1","0","1","1","0","room_stage_1"
"decor_lv2","decor","2","30","1.03","1","3","room_stage_1"
"decor_lv3","decor","3","70","1.07","1","7","room_stage_1"
"decor_lv4","decor","4","140","1.12","1","12","room_stage_2"
"decor_lv5","decor","5","260","1.18","1","18","room_stage_2"
"decor_lv6","decor","6","460","1.25","1","25","room_stage_2"
"atmosphere_lv1","atmosphere","1","0","1","1","0","room_stage_1"
"atmosphere_lv2","atmosphere","2","80","1.02","1.01","5","room_stage_2"
"atmosphere_lv3","atmosphere","3","170","1.05","1.03","10","room_stage_2"
"atmosphere_lv4","atmosphere","4","320","1.09","1.05","16","room_stage_2"
"atmosphere_lv5","atmosphere","5","560","1.14","1.08","23","room_stage_3"
"atmosphere_lv6","atmosphere","6","900","1.2","1.12","31","room_stage_3"
"commerce_device_lv1","commerce_device","1","0","1","1","0","room_stage_1"
"commerce_device_lv2","commerce_device","2","100","1","1.05","5","room_stage_2"
"commerce_device_lv3","commerce_device","3","220","1","1.12","11","room_stage_2"
"commerce_device_lv4","commerce_device","4","420","1","1.2","18","room_stage_3"
"commerce_device_lv5","commerce_device","5","760","1","1.3","26","room_stage_3"
"commerce_device_lv6","commerce_device","6","1200","1","1.42","35","room_stage_4"
