"id","streamer_id","level","cost_gold","traffic_value","commerce_coeff"
"s001_lv1","s001","1","0","3.5","1.02"
"s001_lv2","s001","2","120","3.92","1.05"
"s001_lv3","s001","3","260","4.41","1.08"
"s001_lv4","s001","4","480","4.97","1.12"
"s001_lv5","s001","5","800","5.6","1.17"
"s002_lv1","s002","1","0","4.2","1"
"s002_lv2","s002","2","120","4.7","1.03"
"s002_lv3","s002","3","260","5.29","1.06"
"s002_lv4","s002","4","480","5.96","1.1"
"s002_lv5","s002","5","800","6.72","1.15"
"s003_lv1","s003","1","0","3.8","1.12"
"s003_lv2","s003","2","160","4.33","1.16"
"s003_lv3","s003","3","340","4.94","1.21"
"s003_lv4","s003","4","620","5.62","1.27"
"s003_lv5","s003","5","1000","6.38","1.33"
"s004_lv1","s004","1","0","5","1.08"
"s004_lv2","s004","2","160","5.7","1.12"
"s004_lv3","s004","3","340","6.5","1.17"
"s004_lv4","s004","4","620","7.4","1.22"
"s004_lv5","s004","5","1000","8.4","1.29"
"s005_lv1","s005","1","0","4.6","1.18"
"s005_lv2","s005","2","220","5.34","1.24"
"s005_lv3","s005","3","460","6.16","1.3"
"s005_lv4","s005","4","820","7.13","1.37"
"s005_lv5","s005","5","1300","8.28","1.45"
"s006_lv1","s006","1","0","6","1.1"
"s006_lv2","s006","2","220","6.96","1.16"
"s006_lv3","s006","3","460","8.04","1.21"
"s006_lv4","s006","4","820","9.3","1.28"
"s006_lv5","s006","5","1300","10.8","1.35"
