task_id,chapter_id,task_type,target_value,reward_gold,reward_type,reward_value
ch1_task_01,1,hero_total_level,7,80,gold,80
ch1_task_02,1,room_total_level,6,90,gold,90
ch1_task_03,1,total_traffic,1200,120,gold,120
ch1_task_04,1,sales_gold,450,150,ad_ticket,1
ch2_task_01,2,hero_total_level,13,150,gold,150
ch2_task_02,2,room_total_level,13,180,gold,180
ch2_task_03,2,total_traffic,12000,220,gold,220
ch2_task_04,2,sales_gold,3500,320,speed_buff,1
ch3_task_01,3,hero_total_level,17,250,gold,250
ch3_task_02,3,room_total_level,18,300,gold,300
ch3_task_03,3,company_level,3,360,gold,360
ch3_task_04,3,streamer_count,1,420,recruit_ticket,1
ch3_task_05,3,sales_gold,22000,650,speed_buff,1
ch4_task_01,4,hero_total_level,21,320,gold,320
ch4_task_02,4,room_total_level,22,420,gold,420
ch4_task_03,4,company_level,4,480,gold,480
ch4_task_04,4,streamer_count,2,520,recruit_ticket,1
ch4_task_05,4,sales_gold,80000,900,speed_buff,1
ch5_task_01,5,hero_total_level,24,420,gold,420
ch5_task_02,5,room_total_level,24,520,gold,520
ch5_task_03,5,company_level,5,650,gold,650
ch5_task_04,5,streamer_count,3,700,recruit_ticket,1
ch5_task_05,5,sales_gold,220000,1200,speed_buff,1
