"chapter_id","milestone_order","milestone_name","calc_product_id","effective_traffic_per_sec","natural_sales_gold_per_min","natural_sales_gold_5min","offline_gold_30m","offline_gold_2h","ad_offline_double_bonus_30m","ad_live_accelerate_bonus_gold","ad_sales_burst_bonus_gold","free_recruit_gold_equiv","recommended_session_ad_count","recommended_ad_share_upper"
"1","1","chapter_start","p001","8","95","475","1568","6273","1568","285","0","0","0-1","0.15"
"1","2","chapter_mid","p002","9.43","128","641","2117","8466","2117","385","0","0","0-1","0.15"
"1","3","chapter_end","p002","12.07","167","837","2763","11054","2763","502","0","0","0-1","0.15"
"2","1","chapter_start","p003","13.03","199","993","3277","13108","3277","596","477","0","1-2","0.22"
"2","2","chapter_mid","p004","17.6","358","1789","5904","23618","5904","1074","859","0","1-2","0.22"
"2","3","chapter_end","p004","22.02","518","2588","8541","34164","8541","1553","1242","0","1-2","0.22"
"3","1","chapter_start","p005","22.02","570","2849","9402","37608","9402","1709","1368","1800","2-4","0.3"
"3","2","chapter_mid","p005","25.53","832","4162","13735","54939","13735","2497","1998","1800","2-4","0.3"
"3","3","chapter_end","p006","41.51","1831","9157","30219","120877","30219","5494","4396","1800","2-4","0.3"
"4","1","chapter_start","p006","41.51","1831","9157","30219","120877","30219","5494","4396","2400","3-5","0.35"
"4","2","chapter_mid","p007","61.72","3700","18501","61055","244220","61055","11101","8881","2400","3-5","0.35"
"4","3","chapter_end","p007","75.96","6039","30194","99640","398561","99640","18116","14493","2400","3-5","0.35"
"5","1","chapter_start","p007","75.96","6039","30194","99640","398561","99640","18116","14493","3200","4-6","0.4"
"5","2","chapter_mid","p008","119.05","12217","61087","201587","806350","201587","36652","29322","3200","4-6","0.4"
"5","3","chapter_end","p009","122.72","15824","79120","261096","1044384","261096","47472","37978","3200","4-6","0.4"
