"chapter_id","milestone_name","natural_sales_gold_per_min","old_offline_gold_30m","new_offline_gold_30m","old_offline_gold_2h","new_offline_gold_2h","old_ad_offline_double_bonus_30m","new_ad_offline_double_bonus_30m","old_extra_equiv_min_30m","new_extra_equiv_min_30m","old_extra_equiv_min_2h","new_extra_equiv_min_2h"
"1","chapter_start","95","1568","712","6273","2850","1568","712","16.5","7.5","66","30"
"1","chapter_mid","128","2117","960","8466","3840","2117","960","16.5","7.5","66","30"
"1","chapter_end","167","2763","1252","11054","5010","2763","1252","16.5","7.5","66","30"
"2","chapter_start","199","3277","1492","13108","5970","3277","1492","16.5","7.5","66","30"
"2","chapter_mid","358","5904","2685","23618","10740","5904","2685","16.5","7.5","66","30"
"2","chapter_end","518","8541","3885","34164","15540","8541","3885","16.5","7.5","66","30"
"3","chapter_start","570","9402","4275","37608","17100","9402","4275","16.5","7.5","66","30"
"3","chapter_mid","832","13735","6240","54939","24960","13735","6240","16.5","7.5","66","30"
"3","chapter_end","1831","30219","13732","120877","54930","30219","13732","16.5","7.5","66","30"
"4","chapter_start","1831","30219","13732","120877","54930","30219","13732","16.5","7.5","66","30"
"4","chapter_mid","3700","61055","27750","244220","111000","61055","27750","16.5","7.5","66","30"
"4","chapter_end","6039","99640","45292","398561","181170","99640","45292","16.5","7.5","66","30"
"5","chapter_start","6039","99640","45292","398561","181170","99640","45292","16.5","7.5","66","30"
"5","chapter_mid","12217","201587","91628","806350","366510","201587","91628","16.5","7.5","66","30"
"5","chapter_end","15824","261096","118680","1044384","474720","261096","118680","16.5","7.5","66","30"
