scenario_id,scenario_name,step_order,page_or_node,popup_or_action,popup_type,is_blocking,priority,trigger_condition,suppress_rules,next_step
flow_a_01,first_login_onboarding,1,boot_story_page,story_intro,guide,true,1,first_login,none,flow_a_02
flow_a_01,first_login_onboarding,2,main_live_page,hero_growth_guide,guide,true,1,after_story,none,flow_a_03
flow_a_01,first_login_onboarding,3,room_growth_page,room_growth_guide,guide,true,1,after_hero_upgrade,none,flow_a_04
flow_a_01,first_login_onboarding,4,main_live_page,first_live_start,action,true,1,after_room_setup,none,flow_a_05
flow_a_01,first_login_onboarding,5,main_live_page,weak_ad_value_hint,weak_hint,false,6,after_first_income,no_interstitial_in_first_60s,end
flow_b_01,return_login,1,launch_popup,offline_reward_popup,reward,true,2,has_offline_income,none,flow_b_02
flow_b_01,return_login,2,launch_popup,offline_double_choice,rewarded_choice,true,5,choose_double_reward,no_interstitial_within_90s_after_rewarded,flow_b_03
flow_b_01,return_login,3,main_live_page,system_unlock_popup,unlock,true,4,has_pending_unlock,none,end
flow_c_01,mid_session_stall_accelerate,1,main_live_page,natural_progress,none,false,99,chapter_mid_stall,none,flow_c_02
flow_c_01,mid_session_stall_accelerate,2,main_live_page,live_accelerate_prompt,rewarded_suggestion,false,5,no_active_buff_and_no_sales_burst_180s,if_sales_burst_used_within_180s,end
flow_c_02,mid_session_sales_sprint,1,main_live_page,natural_progress,none,false,99,sales_target_near_complete,none,flow_c_03
flow_c_02,mid_session_sales_sprint,2,main_live_page,sales_burst_prompt,rewarded_suggestion,false,5,chapter_ge_2_and_no_live_accelerate_180s,if_live_accelerate_used_within_180s,end
flow_d_01,chapter_complete,1,chapter_complete_popup,chapter_reward_popup,reward,true,3,chapter_complete,none,flow_d_02
flow_d_01,chapter_complete,2,chapter_complete_popup,chapter_reward_double_popup,rewarded_choice,true,5,reward_can_double,no_interstitial_within_90s_after_rewarded,flow_d_03
flow_d_01,chapter_complete,3,chapter_complete_popup,system_unlock_popup,unlock,true,4,has_unlock,none,flow_d_04
flow_d_01,chapter_complete,4,chapter_complete_popup,chapter_complete_interstitial,interstitial,true,7,chapter_ge_2_and_cooldown_ready,skip_if_rewarded_within_90s,end
flow_e_01,first_recruit,1,recruit_page,system_unlock_popup,unlock,true,4,recruit_unlocked,none,flow_e_02
flow_e_01,first_recruit,2,recruit_page,free_recruit_popup,rewarded_choice,true,5,free_recruit_available,do_not_pair_with_sales_burst,end_recruit_action
flow_e_01,first_recruit,3,recruit_page,recruit_result_showcase,result,true,3,recruit_success,no_interstitial_within_15s_after_recruit,end
